institution_id,course_id
KKOM-022,KKOM-CET-027
KKOM-026,KKOM-CET-027
KKOM-027,KKOM-CET-027
KKOM-028,KKOM-CET-027
KKOM-038,KKOM-CET-027
KKOM-041,KKOM-CET-027
KKOM-042,KKOM-CET-027
KKOM-047,KKOM-CET-027
KKOM-050,KKOM-CET-027
KKOM-051,KKOM-CET-027
KKOM-056,KKOM-CET-027
KKOM-062,KKOM-CET-027
KKOM-063,KKOM-CET-027
KKOM-064,KKOM-CET-027
KKOM-068,KKOM-CET-027
KKOM-074,KKOM-CET-027
KKOM-079,KKOM-CET-027
KKOM-081,KKOM-CET-027
KKOM-085,KKOM-CET-027
KKOM-087,KKOM-CET-027
KKOM-094,KKOM-CET-027
KKOM-098,KKOM-CET-027
KKOM-026,KKOM-CET-028
KKOM-040,KKOM-CET-028
KKOM-068,KKOM-CET-028
KKOM-096,KKOM-CET-028
KKOM-007,KKOM-CET-029
KKOM-025,KKOM-CET-029
KKOM-038,KKOM-CET-029
KKOM-072,KKOM-CET-029
KKOM-005,KKOM-CET-030
KKOM-009,KKOM-CET-030
KKOM-014,KKOM-CET-030
KKOM-031,KKOM-CET-030
KKOM-057,KKOM-CET-030
KKOM-068,KKOM-CET-030
KKOM-085,KKOM-CET-030
KKOM-088,KKOM-CET-030
KKOM-017,KKOM-CET-031
KKOM-029,KKOM-CET-031
KKOM-039,KKOM-CET-031
KKOM-044,KKOM-CET-031
KKOM-063,KKOM-CET-031
KKOM-077,KKOM-CET-031
KKOM-093,KKOM-CET-031
KKOM-091,KKOM-CET-032
KKOM-020,KKOM-CET-033
KKOM-080,KKOM-CET-033
KKOM-008,KKOM-CET-034
KKOM-071,KKOM-CET-035
KKOM-012,KKOM-CET-036
KKOM-021,KKOM-CET-036
KKOM-025,KKOM-CET-036
KKOM-041,KKOM-CET-036
KKOM-058,KKOM-CET-036
KKOM-064,KKOM-CET-036
KKOM-067,KKOM-CET-036
KKOM-072,KKOM-CET-036
KKOM-078,KKOM-CET-036
KKOM-085,KKOM-CET-036
KKOM-092,KKOM-CET-036
KKOM-100,KKOM-CET-036
KKOM-019,KKOM-CET-037
KKOM-006,KKOM-CET-038
KKOM-007,KKOM-CET-038
KKOM-034,KKOM-CET-038
KKOM-042,KKOM-CET-038
KKOM-043,KKOM-CET-038
KKOM-045,KKOM-CET-038
KKOM-052,KKOM-CET-038
KKOM-065,KKOM-CET-038
KKOM-070,KKOM-CET-038
KKOM-073,KKOM-CET-038
